2020,1,1
2020,1,2
2020,1,3
2020,1,4
2020,1,5
2020,1,6
2020,1,7
2020,1,8
2020,1,9
2020,1,10
2020,1,11
2020,1,12
2020,1,13
2020,2,14
2020,2,15
2020,2,16
2020,2,17
2020,2,18
2020,2,19
2020,2,20
2020,2,21
2020,2,22
2020,2,23
2020,2,24
2020,2,25
2020,2,26
2020,3,27
2020,3,28
2020,3,29
2020,3,30
2020,3,31
2020,3,32
2020,3,33
2020,3,34
2020,3,35
2020,3,36
2020,3,37
2020,3,38
2020,3,39
2020,4,40
2020,4,41
2020,4,42
2020,4,43
2020,4,44
2020,4,45
2020,4,46
2020,4,47
2020,4,48
2020,4,49
2020,4,50
2020,4,51
2020,4,52
2021,1,1
2021,1,2
2021,1,3
2021,1,4
2021,1,5
2021,1,6
2021,1,7
2021,1,8
2021,1,9
2021,1,10
2021,1,11
2021,1,12
2021,1,13
2021,2,14
2021,2,15
2021,2,16
2021,2,17
2021,2,18
2021,2,19
2021,2,20
2021,2,21
2021,2,22
2021,2,23
2021,2,24
2021,2,25
2021,2,26
2021,3,27
2021,3,28
2021,3,29
2021,3,30
2021,3,31
2021,3,32
2021,3,33
2021,3,34
2021,3,35
2021,3,36
2021,3,37
2021,3,38
2021,3,39
2021,4,40
2021,4,41
2021,4,42
2021,4,43
2021,4,44
2021,4,45
2021,4,46
2021,4,47
2021,4,48
2021,4,49
2021,4,50
2021,4,51
2021,4,52
