10086,American Cheese,Cheesy Delights,24.99,1,1,0,0,0
10109,Apple,Farmers & Co,25.82,1,0,0,0,0
10090,Apple Juice,Drinks & Dregs,45.82,1,0,0,0,0
10060,Arugula,Phineas and Herbs,27.68,1,0,0,0,0
10107,Baking Powder,Snowy Specialties,19.49,1,0,0,0,0
10039,Basil,Phineas and Herbs,37.71,1,0,0,0,0
10049,Bay Leaf,Ellington's Aromatics,56.49,1,0,0,0,0
10058,Bean,Farmers & Co,27.99,1,0,0,0,0
10041,Beef Patty,Meat Treats Butchery,100.88,0,0,0,0,0
10120,Beet,Schrute Farms,2.5,1,0,0,0,0
10016,Bell Pepper,Farmers & Co,28.14,1,0,0,0,0
10110,Bottled Water,Drinks & Dregs,2.38,1,0,0,0,0
10070,Bouillon,Snowy Specialties,35.48,0,0,0,0,0
10033,Bread,Olde Hickory Bakery,30.98,1,0,0,1,0
10006,Breadcrumbs,Olde Hickory Bakery,21.76,1,0,0,1,0
10042,Burger Bun,Olde Hickory Bakery,47.48,1,0,0,1,0
10022,Butter,Hawthorne Creek Dairy Farm,76.48,1,0,0,0,0
10037,Buttermilk,Hawthorne Creek Dairy Farm,29.95,1,1,0,0,0
10028,Canola Oil,Bly Manor Artisanal Rarities,63.99,1,0,0,0,0
10054,Carrot,Farmers & Co,23.26,1,0,0,0,0
10044,Cauliflower,Farmers & Co,23.49,1,0,0,0,0
10040,Cayenne,Ellington's Aromatics,12.99,1,0,0,0,0
10059,Celery,Farmers & Co,24.98,1,0,0,0,0
10084,Cheddar,Cheesy Delights,50.76,1,1,0,0,0
10061,Cherry Tomato,Farmers & Co,30.98,1,0,0,0,0
10055,Chicken Breast,Cluckington Post,70,0,0,0,0,0
10036,Chicken Drumstick,Cluckington Post,60,0,0,0,0,0
10085,Chicken Tender,Cluckington Post,65,0,0,0,0,0
10018,Chicken Wing,Cluckington Post,55,0,0,0,0,0
10068,Chili,Ellington's Aromatics,12.99,1,0,0,0,0
10032,Chives,Phineas and Herbs,23.45,1,0,0,0,0
10096,Chocolate,Bly Manor Artisanal Rarities,25.68,1,0,0,0,0
10115,Chocolate Milk,Drinks & Dregs,40.03,1,1,0,0,0
10091,Cinnamon,Ellington's Aromatics,13.49,1,0,0,0,0
10078,Clam,Nemo's Sea Market,198.99,1,0,0,0,1
10095,Cloves,Ellington's Aromatics,34.2,1,0,0,0,0
10111,Coca Cola,Drinks & Dregs,120.79,1,0,0,0,0
10103,Cocoa,Bly Manor Artisanal Rarities,102.04,1,0,0,0,0
10026,Colby Jack,Cheesy Delights,71.25,1,1,0,0,0
10119,Corn,Farmers & Co,20.63,1,0,0,0,0
10008,Cornstarch,Snowy Specialties,20.65,1,0,0,0,0
10074,Crab,Nemo's Sea Market,199.95,0,0,0,0,1
10024,Cream Cheese,Cheesy Delights,38.87,1,1,0,0,0
10065,Cucumber,Farmers & Co,42.45,1,0,0,0,0
10062,Dijon Mustard,Snowy Specialties,41.32,1,0,0,0,0
10004,Egg,Cluckington Post,6.98,1,0,1,0,0
10053,Eggplant,Farmers & Co,69.69,1,0,0,0,0
10102,Espresso,Bly Manor Artisanal Rarities,20.42,1,0,0,0,0
10113,Fanta Orange,Drinks & Dregs,26.99,1,0,0,0,0
10064,Feta,Cheesy Delights,46.7,1,1,0,0,0
10007,Flour,Snowy Specialties,46,1,0,0,1,0
10013,Garlic,Farmers & Co,68.6,1,0,0,0,0
10014,Garlic Powder,Ellington's Aromatics,67.2,1,0,0,0,0
10071,Ginger,Farmers & Co,69,1,0,0,0,0
10099,Graham Cracker,Olde Hickory Bakery,31.84,1,0,0,0,0
10073,Green Onion,Farmers & Co,9.99,1,0,0,0,0
10045,Ground Beef,Meat Treats Butchery,71.76,0,0,0,0,0
10056,Heavy Cream,Hawthorne Creek Dairy Farm,30.48,1,1,0,0,0
10021,Honey,Bly Manor Artisanal Rarities,152.55,1,0,0,0,0
10020,Hot Sauce,Bly Manor Artisanal Rarities,53.8,1,0,0,0,0
10046,Italian Seasoning,Ellington's Aromatics,21.42,1,0,0,0,0
10118,Kalamata Olive,Bly Manor Artisanal Rarities,28.49,1,0,0,0,0
10100,Ladyfingers,Olde Hickory Bakery,32.75,1,0,1,1,0
10051,Lasagna Sheet,Snowy Specialties,22.88,1,0,0,1,0
10093,Lemon,Farmers & Co,63.84,1,0,0,0,0
