2020,1,75389,5
2020,2,75389,20
2020,3,75389,18
2020,4,75389,38
2020,5,75389,26
2020,6,75389,37
2020,7,75389,22
2020,8,75389,47
2020,9,75389,27
2020,10,75389,9
2020,11,75389,8
2020,12,75389,15
2020,13,75389,50
2020,14,75389,15
2020,15,75389,1
2020,16,75389,41
2020,17,75389,45
2020,18,75389,7
2020,19,75389,44
2020,20,75389,44
2020,21,75389,6
2020,22,75389,49
2020,23,75389,16
2020,24,75389,13
2020,25,75389,15
2020,26,75389,12
2020,27,75389,31
2020,28,75389,8
2020,29,75389,49
2020,30,75389,27
2020,31,75389,41
2020,32,75389,14
2020,33,75389,46
2020,34,75389,13
2020,35,75389,33
2020,36,75389,45
2020,37,75389,48
2020,38,75389,45
2020,39,75389,19
2020,40,75389,44
2020,41,75389,13
2020,42,75389,35
2020,43,75389,19
2020,44,75389,4
2020,45,75389,1
2020,46,75389,40
2020,47,75389,42
2020,48,75389,7
2020,49,75389,23
2020,50,75389,12
2020,51,75389,37
2020,52,75389,18
2021,1,75389,32
2021,2,75389,36
2021,3,75389,35
2021,4,75389,7
2021,5,75389,26
2021,6,75389,25
2021,7,75389,37
2021,8,75389,3
2021,9,75389,17
2021,10,75389,31
2021,11,75389,13
2021,12,75389,3
2021,13,75389,43
2021,14,75389,39
2021,15,75389,3
2021,16,75389,46
2021,17,75389,45
2021,18,75389,5
2021,19,75389,28
2021,20,75389,10
2021,21,75389,37
2021,22,75389,39
2021,23,75389,21
2021,24,75389,49
2021,25,75389,1
2021,26,75389,42
2021,27,75389,15
2021,28,75389,4
2021,29,75389,34
2021,30,75389,42
2021,31,75389,36
2021,32,75389,40
2021,33,75389,26
2021,34,75389,26
2021,35,75389,40
2021,36,75389,9
2021,37,75389,47
2021,38,75389,31
2021,39,75389,24
2021,40,75389,11
2021,41,75389,21
2021,42,75389,2
2021,43,75389,8
2021,44,75389,18
2021,45,75389,2
2021,46,75389,15
2021,47,75389,30
2021,48,75389,16
2021,49,75389,49
2021,50,75389,32
2021,51,75389,4
2021,52,75389,14
2020,1,20357,32
2020,2,20357,35
2020,3,20357,27
2020,4,20357,48
2020,5,20357,38
2020,6,20357,47
2020,7,20357,14
2020,8,20357,15
2020,9,20357,44
2020,10,20357,35
2020,11,20357,46
2020,12,20357,45
2020,13,20357,42
2020,14,20357,49
2020,15,20357,1
2020,16,20357,12
2020,17,20357,45
2020,18,20357,47
2020,19,20357,4
2020,20,20357,37
2020,21,20357,22
2020,22,20357,15
2020,23,20357,49
2020,24,20357,32
2020,25,20357,2
2020,26,20357,20
2020,27,20357,23
2020,28,20357,20
2020,29,20357,15
2020,30,20357,24
2020,31,20357,50
2020,32,20357,38
2020,33,20357,5
2020,34,20357,47
2020,35,20357,42
2020,36,20357,29
2020,37,20357,16
2020,38,20357,38
2020,39,20357,21
2020,40,20357,42
2020,41,20357,27
2020,42,20357,15
2020,43,20357,18
2020,44,20357,3
2020,45,20357,24
2020,46,20357,8
2020,47,20357,12
2020,48,20357,31
2020,49,20357,30
2020,50,20357,7
2020,51,20357,30
2020,52,20357,16
2021,1,20357,42
2021,2,20357,21
2021,3,20357,10
2021,4,20357,37
2021,5,20357,40
2021,6,20357,36
2021,7,20357,7
2021,8,20357,9
2021,9,20357,21
2021,10,20357,8
2021,11,20357,2
2021,12,20357,47
2021,13,20357,9
2021,14,20357,25
2021,15,20357,42
2021,16,20357,10
2021,17,20357,30
2021,18,20357,47
2021,19,20357,33
2021,20,20357,47
2021,21,20357,34
2021,22,20357,50
2021,23,20357,11
2021,24,20357,3
2021,25,20357,9
2021,26,20357,26
2021,27,20357,48
2021,28,20357,45
2021,29,20357,41
2021,30,20357,46
2021,31,20357,15
2021,32,20357,37
2021,33,20357,39
2021,34,20357,32
2021,35,20357,5
2021,36,20357,9
2021,37,20357,33
2021,38,20357,12
2021,39,20357,46
2021,40,20357,29
2021,41,20357,26
2021,42,20357,2
2021,43,20357,33
2021,44,20357,39
2021,45,20357,49
2021,46,20357,40
2021,47,20357,24
2021,48,20357,12
2021,49,20357,2
2021,50,20357,31
2021,51,20357,47
2021,52,20357,36
2020,1,76037,4
2020,2,76037,43
2020,3,76037,39
2020,4,76037,37
2020,5,76037,11
2020,6,76037,48
2020,7,76037,41
2020,8,76037,2
2020,9,76037,8
2020,10,76037,47
2020,11,76037,22
2020,12,76037,2
2020,13,76037,37
2020,14,76037,4
2020,15,76037,14
